"Fact","Fact Note","Idaho","Value Note for Idaho"
"Population Estimates, July 1 2021, (V2021)","","1,900,923",""
"Population estimates base, April 1, 2020, (V2021)","","1,839,106",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","","3.4%",""
"Population, Census, April 1, 2020","","1,839,106",""
"Population, Census, April 1, 2010","","1,567,582",""
"Persons under 5 years, percent","","6.5%",""
"Persons under 18 years, percent","","25.1%",""
"Persons 65 years and over, percent","","16.3%",""
"Female persons, percent","","49.9%",""
"White alone, percent","","93.0%",""
"Black or African American alone, percent","(a)","0.9%",""
"American Indian and Alaska Native alone, percent","(a)","1.7%",""
"Asian alone, percent","(a)","1.6%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%",""
"Two or More Races, percent","","2.6%",""
"Hispanic or Latino, percent","(b)","12.8%",""
"White alone, not Hispanic or Latino, percent","","81.6%",""
"Veterans, 2016-2020","","115,549",""
"Foreign born persons, percent, 2016-2020","","5.9%",""
"Housing units, July 1, 2021, (V2021)","","775,267",""
"Owner-occupied housing unit rate, 2016-2020","","70.8%",""
"Median value of owner-occupied housing units, 2016-2020","","$235,600",""
"Median selected monthly owner costs -with a mortgage, 2016-2020","","$1,312",""
"Median selected monthly owner costs -without a mortgage, 2016-2020","","$388",""
"Median gross rent, 2016-2020","","$887",""
"Building permits, 2021","","21,732",""
"Households, 2016-2020","","649,299",""
"Persons per household, 2016-2020","","2.66",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020","","83.2%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2016-2020","","10.8%",""
"Households with a computer, percent, 2016-2020","","93.2%",""
"Households with a broadband Internet subscription, percent, 2016-2020","","86.0%",""
"High school graduate or higher, percent of persons age 25 years+, 2016-2020","","91.3%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020","","28.7%",""
"With a disability, under age 65 years, percent, 2016-2020","","9.5%",""
"Persons  without health insurance, under age 65 years, percent","","12.8%",""
"In civilian labor force, total, percent of population age 16 years+, 2016-2020","","62.8%",""
"In civilian labor force, female, percent of population age 16 years+, 2016-2020","","57.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","2,680,225",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","7,895,614",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","20,201,432",""
"Total retail sales, 2012 ($1,000)","(c)","20,444,278",""
"Total retail sales per capita, 2012","(c)","$12,812",""
"Mean travel time to work (minutes), workers age 16 years+, 2016-2020","","21.2",""
"Median household income (in 2020 dollars), 2016-2020","","$58,915",""
"Per capita income in past 12 months (in 2020 dollars), 2016-2020","","$29,494",""
"Persons in poverty, percent","","10.1%",""
"Total employer establishments, 2020","","51,957",""
"Total employment, 2020","","637,810",""
"Total annual payroll, 2020 ($1,000)","","28,806,542",""
"Total employment, percent change, 2019-2020","","3.4%",""
"Total nonemployer establishments, 2018","","135,986",""
"All firms, 2012","","146,642",""
"Men-owned firms, 2012","","70,438",""
"Women-owned firms, 2012","","45,121",""
"Minority-owned firms, 2012","","10,592",""
"Nonminority-owned firms, 2012","","130,973",""
"Veteran-owned firms, 2012","","12,804",""
"Nonveteran-owned firms, 2012","","124,314",""
"Population per square mile, 2010","","19.0",""
"Land area in square miles, 2010","","82,643.12",""
"FIPS Code","","""16""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"F","Fewer than 25 firms","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"FN","Footnote on this item in place of data","",""
"X","Not applicable","",""
"S","Suppressed; does not meet publication standards","",""
"NA","Not available","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
